"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 11 04:31:07 UTC 2023","Tue Jul 11 04:31:07 UTC 2023","697","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Jul 11 04:11:45 UTC 2023","Tue Jul 11 04:11:59 UTC 2023","13604","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Jul 11 04:38:22 UTC 2023","Tue Jul 11 04:38:22 UTC 2023","238","","20. Admin Portal - Check details","","","","3. Check panels existence",""
"passed","Tue Jul 11 04:12:55 UTC 2023","Tue Jul 11 04:13:06 UTC 2023","11440","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Jul 11 04:29:43 UTC 2023","Tue Jul 11 04:29:47 UTC 2023","3712","","6. Company Account","","","","3. Complete Investment Choice",""
"passed","Tue Jul 11 04:12:14 UTC 2023","Tue Jul 11 04:12:17 UTC 2023","2932","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Jul 11 04:38:33 UTC 2023","Tue Jul 11 04:38:34 UTC 2023","739","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Jul 11 04:28:51 UTC 2023","Tue Jul 11 04:28:59 UTC 2023","8656","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","2. Create a Joint Account",""
"passed","Tue Jul 11 04:22:26 UTC 2023","Tue Jul 11 04:22:32 UTC 2023","5317","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Jul 11 04:13:38 UTC 2023","Tue Jul 11 04:13:39 UTC 2023","441","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Jul 11 04:21:47 UTC 2023","Tue Jul 11 04:21:51 UTC 2023","4048","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Tue Jul 11 04:22:31 UTC 2023","Tue Jul 11 04:22:39 UTC 2023","8418","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","6. Complete Super Fund Entry",""
"passed","Tue Jul 11 04:27:02 UTC 2023","Tue Jul 11 04:27:30 UTC 2023","27289","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Tue Jul 11 04:40:48 UTC 2023","Tue Jul 11 04:41:07 UTC 2023","18216","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Jul 11 04:35:25 UTC 2023","Tue Jul 11 04:36:08 UTC 2023","43191","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Tue Jul 11 04:21:51 UTC 2023","Tue Jul 11 04:22:22 UTC 2023","30481","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Jul 11 04:21:47 UTC 2023","Tue Jul 11 04:21:47 UTC 2023","27","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Tue Jul 11 04:29:47 UTC 2023","Tue Jul 11 04:29:58 UTC 2023","11128","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Tue Jul 11 04:23:06 UTC 2023","Tue Jul 11 04:24:15 UTC 2023","69521","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Tue Jul 11 04:13:53 UTC 2023","Tue Jul 11 04:14:18 UTC 2023","24302","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Jul 11 04:27:30 UTC 2023","Tue Jul 11 04:27:31 UTC 2023","1664","","23. Change Portfolio for Interactive Brokers","","","","6. Check Final Review",""
"passed","Tue Jul 11 04:30:47 UTC 2023","Tue Jul 11 04:31:03 UTC 2023","16463","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Tue Jul 11 04:19:33 UTC 2023","Tue Jul 11 04:19:34 UTC 2023","1146","","10. Client Portal - Account Dashboard","","","","8. Expand Performance",""
"passed","Tue Jul 11 04:21:19 UTC 2023","Tue Jul 11 04:21:39 UTC 2023","19661","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Jul 11 04:16:38 UTC 2023","Tue Jul 11 04:16:59 UTC 2023","21323","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Tue Jul 11 04:31:56 UTC 2023","Tue Jul 11 04:32:33 UTC 2023","37242","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Jul 11 04:18:45 UTC 2023","Tue Jul 11 04:19:16 UTC 2023","30306","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Tue Jul 11 04:32:03 UTC 2023","Tue Jul 11 04:33:06 UTC 2023","63537","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","12. Add another investor in Applicants",""
